title,year,found,metacritic,imdb_rating,imdb_votes,director,actors,genre,runtime,rated,plot,letterboxd_found,letterboxd_slug,letterboxd_rating,pedigree_director,pedigree_score,pedigree_prior_film_count,score,tier,reason
Parasite,2019,True,97.0,8.5,1148210,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong","Drama, Thriller",132 min,R,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,True,parasite-2019,4.53,Bong Joon Ho,77.2,5,90.01,WORTH,ok
There Will Be Blood,2007,True,93.0,8.2,700517,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds",Drama,158 min,R,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",True,there-will-be-blood,4.46,Paul Thomas Anderson,80.67,3,88.71,WORTH,ok
Goodfellas,1990,True,92.0,8.7,1388009,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci","Biography, Crime, Drama",145 min,R,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",True,goodfellas,4.46,Martin Scorsese,81.8,5,88.57,WORTH,ok
No Country for Old Men,2007,True,92.0,8.2,1177271,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin","Crime, Drama, Thriller",122 min,R,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,True,no-country-for-old-men,4.31,Ethan Coen,70.8,5,84.88,WORTH,ok
The Departed,2006,True,85.0,8.5,1551506,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson","Crime, Drama, Thriller",151 min,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,True,the-departed,4.34,Martin Scorsese,77.0,5,83.71,WORTH,ok
The Lord of the Rings: The Fellowship of the Ring,2001,True,92.0,8.9,2203785,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom","Adventure, Drama, Fantasy",178 min,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,True,the-lord-of-the-rings-the-fellowship-of-the-ring,4.39,Peter Jackson,63.33,3,83.65,WORTH,ok
The Dark Knight,2008,True,85.0,9.1,3161907,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","Action, Crime, Drama",152 min,PG-13,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",True,the-dark-knight-2008,4.49,Christopher Nolan,71.33,3,83.4,WORTH,ok
The Social Network,2010,True,95.0,7.8,812001,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake","Biography, Drama",120 min,PG-13,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",True,the-social-network,3.93,David Fincher,68.8,5,82.97,WORTH,ok
Mad Max: Fury Road,2015,True,90.0,8.1,1198396,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult","Action, Adventure, Sci-Fi",120 min,R,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",True,mad-max-fury-road-2015,4.17,George Miller,68.4,5,82.51,WORTH,ok
Baby Driver,2017,True,86.0,7.5,682380,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm","Action, Crime, Drama",113 min,R,"Coerced into working for a crime boss, a young getaway driver must face the music when a doomed heist threatens his life, love, and freedom.",True,baby-driver,3.7,Edgar Wright,76.75,4,79.58,WORTH,ok
Arrival,2016,True,81.0,7.9,852057,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker","Drama, Mystery, Sci-Fi",116 min,PG-13,"Linguist Louise Banks leads a team of investigators when gigantic spaceships touch down around the world. As nations teeter on the verge of global war, Banks and her crew must find a way to communicate with the extraterrestrial vi...",True,arrival-2016,4.14,Denis Villeneuve,72.2,5,79.52,WORTH,ok
Sicario,2015,True,82.0,7.7,527661,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro","Action, Crime, Drama",121 min,R,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,True,sicario-2015,4.0,Denis Villeneuve,69.75,4,78.36,WORTH,ok
Snowpiercer,2013,True,84.0,7.1,417858,Bong Joon Ho,"Chris Evans, Jamie Bell, Tilda Swinton","Action, Sci-Fi, Thriller",126 min,R,"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.",True,snowpiercer,3.67,Bong Joon Ho,75.0,5,78.13,WORTH,ok
Inception,2010,True,74.0,8.8,2811614,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","Action, Adventure, Sci-Fi",148 min,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",True,inception,4.23,Christopher Nolan,74.75,4,77.89,WORTH,ok
Skyfall,2012,True,81.0,7.8,768360,Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris","Action, Adventure, Thriller",143 min,PG-13,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",True,skyfall,3.94,Sam Mendes,68.2,5,77.16,WORTH,ok
Hell or High Water,2016,True,88.0,7.6,274536,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges","Crime, Drama, Thriller",102 min,R,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their fami...",True,hell-or-high-water,3.93,David Mackenzie,55.6,5,76.93,WORTH,ok
Drive,2011,True,79.0,7.8,761197,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston","Action, Drama",100 min,R,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,True,drive-2011,3.91,Nicolas Winding Refn,68.8,5,76.27,WORTH,ok
Prisoners,2013,True,70.0,8.2,922474,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis","Crime, Drama, Mystery",153 min,R,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,True,prisoners,4.33,Denis Villeneuve,69.67,3,75.73,WORTH,ok
Logan,2017,True,77.0,8.1,917281,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen","Action, Drama, Sci-Fi",137 min,R,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",True,logan-2017,4.12,James Mangold,63.8,5,75.72,WORTH,ok
Edge of Tomorrow,2014,True,71.0,7.9,802767,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton","Action, Adventure, Sci-Fi",113 min,PG-13,A man fighting in a war against aliens must relive the same day every time he dies until he can find a way to stop their power source with the help of an elite soldier.,True,edge-of-tomorrow,3.77,Doug Liman,60.2,5,69.95,DECENT,ok
The Martian,2015,True,80.0,8.0,999128,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig","Adventure, Drama, Sci-Fi",144 min,PG-13,"An astronaut becomes stranded on Mars after his team assumes him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",True,the-martian-2015,3.27,Ridley Scott,54.8,5,68.84,DECENT,ok
Crazy Rich Asians,2018,True,74.0,6.9,207456,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh","Comedy, Drama, Romance",120 min,PG-13,This contemporary romantic comedy based on a global bestseller follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.,True,crazy-rich-asians,3.53,Jon M. Chu,44.0,5,65.61,DECENT,ok
The Equalizer,2014,True,57.0,7.3,464792,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz","Action, Crime, Thriller",132 min,R,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.,True,the-equalizer,3.45,Antoine Fuqua,53.2,5,60.29,DECENT,ok
Cats,2019,True,32.0,2.8,58683,Tom Hooper,"James Corden, Judi Dench, Jason Derulo","Comedy, Drama, Family",110 min,PG,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,True,cats-2019,1.25,Tom Hooper,74.5,4,39.75,FILLER,ok
Dragonball Evolution,2009,True,45.0,2.5,84513,James Wong,"Justin Chatwin, James Marsters, Chow Yun-Fat","Action, Adventure, Fantasy",85 min,PG,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",True,dragonball-evolution,0.86,James Wong,35.67,3,33.03,FILLER,ok
Gigli,2003,True,18.0,2.7,51524,Martin Brest,"Ben Affleck, Jennifer Lopez, Justin Bartha","Comedy, Crime, Romance",121 min,R,"Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney, and a beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.",True,gigli,1.49,Martin Brest,61.8,5,32.64,FILLER,ok
Jack and Jill,2011,True,23.0,3.3,95613,Dennis Dugan,"Adam Sandler, Katie Holmes, Al Pacino","Comedy, Family",91 min,PG,"Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.",True,jack-and-jill,1.58,Dennis Dugan,35.4,5,28.99,FILLER,ok
The Last Airbender,2010,True,20.0,3.9,180350,M. Night Shyamalan,"Noah Ringer, Nicola Peltz Beckham, Jackson Rathbone","Action, Adventure, Family",103 min,PG,"Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",True,the-last-airbender,1.16,M. Night Shyamalan,47.0,5,27.6,FILLER,ok
The Godfather,1972,True,100.0,9.2,2222804,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan","Crime, Drama",175 min,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,True,the-godfather,4.52,Francis Ford Coppola,,2,,UNSCORED,missing: pedigree
Pulp Fiction,1994,True,95.0,8.8,2431656,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson","Crime, Drama",154 min,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",True,pulp-fiction,4.24,Quentin Tarantino,,1,,UNSCORED,missing: pedigree
Schindler's List,1993,True,,,0,N/A,N/A,"Documentary, Short",N/A,N/A,N/A,True,schindlers-list,4.54,,,0,,UNSCORED,"missing: metacritic, pedigree"
The Shawshank Redemption,1994,True,82.0,9.3,3182645,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",Drama,142 min,R,A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.,True,the-shawshank-redemption,4.59,Frank Darabont,,0,,UNSCORED,missing: pedigree
Moonlight,2016,True,99.0,7.4,349429,Barry Jenkins,"Mahershala Ali, Naomie Harris, Trevante Rhodes",Drama,111 min,R,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",True,moonlight-2016,4.2,Barry Jenkins,,0,,UNSCORED,missing: pedigree
Whiplash,2014,True,89.0,8.5,1134459,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist","Drama, Music",106 min,R,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,True,whiplash-2014,4.42,Damien Chazelle,,0,,UNSCORED,missing: pedigree
Get Out,2017,True,85.0,7.8,814293,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford","Horror, Mystery, Thriller",104 min,R,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",True,get-out-2017,4.14,Jordan Peele,,0,,UNSCORED,missing: pedigree
La La Land,2016,True,94.0,8.0,759966,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt","Comedy, Drama, Music",128 min,PG-13,"When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.",True,la-la-land,4.12,Damien Chazelle,,1,,UNSCORED,missing: pedigree
Everything Everywhere All at Once,2022,True,81.0,7.7,627115,"Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis","Action, Adventure, Comedy",139 min,R,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,True,everything-everywhere-all-at-once-2022,4.24,Daniel Kwan,,1,,UNSCORED,missing: pedigree
Knives Out,2019,True,82.0,7.9,875016,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas","Comedy, Crime, Drama",130 min,PG-13,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate.",True,knives-out-2019,3.96,Rian Johnson,,2,,UNSCORED,missing: pedigree
John Wick,2014,True,68.0,7.5,819124,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen","Action, Crime, Thriller",101 min,R,"John Wick is a former hitman grieving the loss of his true love. When his home is broken into, robbed, and his dog killed, he is forced to return to action to exact revenge.",True,john-wick,3.84,Chad Stahelski,,0,,UNSCORED,missing: pedigree
Looper,2012,True,84.0,7.4,624435,Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt","Action, Drama, Sci-Fi",119 min,R,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassin...",True,looper,3.58,Rian Johnson,,1,,UNSCORED,missing: pedigree
Wind River,2017,True,73.0,7.7,311709,Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene","Crime, Drama, Mystery",107 min,R,A wildlife officer helps a rookie FBI agent investigate the murder of a young woman on an American Indian reservation in Wyoming.,True,wind-river-2017,3.84,Taylor Sheridan,,0,,UNSCORED,missing: pedigree
Nightcrawler,2014,True,76.0,7.8,662221,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Bill Paxton","Crime, Drama, Thriller",117 min,R,A petty thief desperate for work muscles into the world of crime journalism and becomes the star of his own story as he blurs the line between observer and participant.,True,nightcrawler,4.04,Dan Gilroy,,0,,UNSCORED,missing: pedigree
Ex Machina,2014,True,78.0,7.7,633967,Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac","Drama, Sci-Fi, Thriller",108 min,R,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,True,ex-machina-2014,3.96,Alex Garland,,0,,UNSCORED,missing: pedigree
Source Code,2011,True,74.0,7.5,577054,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga","Action, Drama, Mystery",93 min,PG-13,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,True,source-code-2011,3.49,Duncan Jones,,1,,UNSCORED,missing: pedigree
Captain America: The Winter Soldier,2014,True,70.0,7.7,970692,"Anthony Russo, Joe Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson","Action, Adventure, Sci-Fi",136 min,PG-13,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",True,captain-america-the-winter-soldier,3.76,Anthony Russo,,2,,UNSCORED,missing: pedigree
The Emoji Movie,2017,True,12.0,3.5,76999,Tony Leondis,"T.J. Miller, James Corden, Anna Faris","Animation, Adventure, Comedy",86 min,PG,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",True,the-emoji-movie,1.42,Tony Leondis,,1,,UNSCORED,missing: pedigree
Battlefield Earth,2000,True,9.0,2.5,85609,Roger Christian,"John Travolta, Forest Whitaker, Barry Pepper","Action, Adventure, Sci-Fi",117 min,PG-13,"It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.",True,battlefield-earth,1.26,Roger Christian,,0,,UNSCORED,missing: pedigree
Movie 43,2013,True,18.0,4.4,119556,"Elizabeth Banks, Steven Brill, Steve Carr","Emma Stone, Stephen Merchant, Richard Gere",Comedy,94 min,R,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,True,movie-43-2013,1.73,Elizabeth Banks,,0,,UNSCORED,missing: pedigree
Catwoman,2004,True,27.0,3.4,131602,Pitof,"Halle Berry, Sharon Stone, Benjamin Bratt","Action, Crime, Fantasy",104 min,PG-13,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",True,catwoman,1.67,Pitof,,0,,UNSCORED,missing: pedigree
Fantastic Four,2015,True,27.0,4.3,191715,Josh Trank,"Miles Teller, Kate Mara, Michael B. Jordan","Action, Adventure, Sci-Fi",100 min,PG-13,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned...,True,fantastic-four,1.34,Josh Trank,,1,,UNSCORED,missing: pedigree
